row,"ground truth ( divided by , each item in ?�??�?)",group,random,semantic_sim,seperate
When was Thomas Jefferson born ?,"""1743"", ""April 13""","Thomas Jefferson was born on April 13, 1743.","Thomas Jefferson was born on April 13, 1743.","Thomas Jefferson was born on April 13, 1743.","Thomas Jefferson was born on April 13, 1743."
When was Ulysses S. Grant born ?,"""1822"", ""April 27""","Ulysses S. Grant was born on April 27, 1822.","Ulysses S. Grant was born on April 27, 1822.","Ulysses S. Grant was born on April 27, 1822.","Ulysses S. Grant was born on April 27, 1822."
When was the Boston tea party ?,"""1773"", December 16""","The Boston Tea Party occurred on December 16, 1773.","The Boston tea party was on December 16, 1773.","The Boston Tea Party was on December 16, 1773.","The Boston Tea Party took place on December 16, 1773."
When was the first Wal-Mart store opened ?,"""1962"", ""July 2""",The first Wal-Mart store was opened in 1962. ,The first Wal-Mart store was opened in the year 1962.,The first Wal-Mart store was opened in 1962.,"The first Wal-Mart store was opened on July 2, 1962."
When was the first kidney transplant ?,"""1954""",The first kidney transplant was in 1954.,The first kidney transplant was performed in 1954.,"The first kidney transplant was carried out on June 17, 1950.","The first kidney transplant was performed on June 17, 1950."
When was the first liver transplant ?,"""1963""",The first liver transplant was done on 1st July 1963.,The first liver transplant was in the year 1963.,The first liver transplant was performed in 1963.,"The first liver transplant was performed on March 1, 1963."
When was the first stamp issued ?,"""1840""",The first stamp was issued in 1840.,The first stamp was issued in the year 1840.,"The first stamp was issued on May 1, 1840.","The first stamp was issued on May 1, 1840 in the United Kingdom."
When was the telephone invented ?,"""1876""",The telephone was invented in 1876.,The telephone was invented in the year 1876.,The telephone was invented in the year 1876.,The telephone was invented in 1876.
When were William Shakespeare 's twins born ?,"""1585""",William Shakespeare's twins were born in the year 1585. ,"William Shakespeare's twins, Hamnet and Judith, were born in 1585.",William Shakespeare's twins were born in 1585.,"William Shakespeare's twins, Hamnet and Judith, were born in February 1585."
Where are the British crown jewels kept ?,"""London"" | ""Tower of London""",The British crown jewels are kept in the Tower of London.,The British crown jewels are kept in the Tower of London.,The British crown jewels are kept in the Tower of London.,The British Crown Jewels are kept in the Tower of London.
Where are the National Archives ?,"""Washington, D.C.""","The National Archives are located in Washington, D.C., USA.","The National Archives are located in Washington D.C., United States. ","The National Archives are located in Washington D.C., United States.","The National Archives are located in Washington D.C., United States."
Where are the Rocky Mountains ?,"""North America"", ""United States"" | ""Canada""","The Rocky Mountains are located in the western part of North America, extending from the northernmost part of British Columbia, in Canada, to New Mexico, in the United States.","The Rocky Mountains are primarily located in western North America. They stretch from the northernmost part of British Columbia, in Canada, to New Mexico, in the United States.","The Rocky Mountains are located in North America, stretching from the northernmost part of Western Canada, all the way to the south-western region of the United States.","The Rocky Mountains stretch from the northernmost part of Western Canada, in British Columbia, Alberta, and continue down through the western United States, through states like Idaho, Montana, Wyoming, Colorado, and New Mexico."
Where did Howard Hughes die ?,"""Houston"", ""Texas""","Howard Hughes died in Houston, Texas, United States.","Howard Hughes died in Houston, Texas.  ","Howard Hughes died in Houston, Texas.","Howard Hughes died on an airplane en route from his penthouse in Mexico to a hospital in Houston, Texas."
Where do apple snails live ?,"""various"" | ""freshwater"", ""environments"" | ""habitats""",Apple snails live in various habitats across South America and Asia.,"Apple snails live in a wide range of habitats including swamps, waterlogged plains, and various types of freshwater environments like rivers, ponds, and dams.","Apple snails live in various environments including ponds, swamps and rivers.","Apple snails live in freshwater habitats like ponds, swamps, wetlands and rivers in tropical and subtropical regions. They are native to South America but have spread to many parts of the world, including North America, Europe, Southeast Asia and Australia, often as invasive species."
Where is Hitler buried ?,"""remains"", ""Unknown"" | ""burned"" | ""scattered""",Adolf Hitler is not officially buried anywhere. His remains were reportedly burned and scattered following his death. ,"The exact location of Hitler's burial is unknown, but according to reports, after his death his remains were cremated and the ashes were scattered.","Adolf Hitler's remains were reportedly cremated and his ashes scattered by Soviet troops, thus he does not have a known burial place.","Adolf Hitler isn't buried anywhere. He died by suicide in his bunker in Berlin on April 30, 1945. His body was later discovered and reportedly cremated by Soviet forces. His ashes were scattered and his final resting place is not known."
Where is John Wayne airport ?,"""Orange County"", ""California""","John Wayne airport is in Orange County, California, United States.","John Wayne airport is located in Orange County, California, United States.","John Wayne airport is located in Orange County, California, US.","John Wayne Airport is located in Orange County, California, United States."
Where is Milan ?,"""Italy""",Milan is located in the northern part of Italy.,"Milan is located in the northern part of Italy, in the Lombardy region.",Milan is located in the northern part of Italy.,"Milan is located in Northern Italy, in the Lombardy region."
Where is Perth ?,"""Australia"", ""Western Australia""","Perth is located in Western Australia, Australia. ",Perth is in Australia.,"Perth is located in Australia, it's the capital city of the Western Australia state.","Perth is located in Western Australia, on the southwest coast of the country."
Where is Prince Edward Island ?,"""Canada""","Prince Edward Island is located in Canada. It is one of eastern Canada's maritime provinces, off New Brunswick and Nova Scotia in the Gulf of St. Lawrence.","Prince Edward Island is located in Canada, specifically in the eastern part of the country and is one of the three Maritime Provinces.","Prince Edward Island is located in Canada, it is one of the eastern provinces in the country.","Prince Edward Island is located in Canada. It is one of the three Maritime Provinces and it is the smallest in the country in both land area and population. It is situated in the Gulf of St. Lawrence, northeast of Maine, U.S."
Where is the Eiffel Tower ?,"""Paris"", ""France""","The Eiffel Tower is located in Paris, France.","The Eiffel Tower is in Paris, France.","The Eiffel Tower is located in Paris, France.","The Eiffel Tower is located in Paris, France."
Where is the Euphrates River ?,"""Iraq"", ""Syria"", ""Turkey""","The Euphrates River is located in Southwest Asia, flowing through Turkey, Syria, and Iraq.","The Euphrates River is located in the Middle East and flows through countries such as Syria, Iraq, and Turkey.","The Euphrates River is located in Western Asia, flowing through Turkey, Syria, and Iraq.","The Euphrates River is located in Western Asia. It flows through the countries of Turkey, Syria, and Iraq."
Where is the Grand Canyon ?,"""Arizona""","The Grand Canyon is located in Arizona, United States.",The Grand Canyon is located in the state of Arizona in the United States.,"The Grand Canyon is located in Arizona, US.","The Grand Canyon is located in the state of Arizona, USA."
Where is the Holland Tunnel ?,"""New York"", ""New Jersey"", ""Manhattan"", ""Jersey City""","The Holland Tunnel is located in New York City, connecting Manhattan and Jersey City, New Jersey, USA.","The Holland Tunnel is located in New York, running under the Hudson River and connecting Manhattan to Jersey City, New Jersey.","The Holland Tunnel is located in the United States, connecting the Manhattan borough of New York City with the city of Jersey City, in the state of New Jersey.","The Holland Tunnel is located in New York City, connecting Manhattan Island to Jersey City in New Jersey. Specifically, it runs underwater, beneath the Hudson River."
